$ python ./MA-ANN/AnnCifar10.py --batchsize 100 --epochs 50
CIFAR10-Dataset with validation-set:
('x_train dtype:', dtype('float32'))
('x_train shape:', (40000, 32, 32, 3))
('y_train dtype:', dtype('float32'))
('y_train shape:', (40000, 10))
relative frequency y_train: 0.09965, 0.09965, 0.1012, 0.0996, 0.100075, 0.099375, 0.1005, 0.100575, 0.099925, 0.09945
('x_val dtype:', dtype('float32'))
('x_val shape:', (10000, 32, 32, 3))
('y_val dtype:', dtype('float32'))
('y_val shape:', (10000, 10))
relative frequency y_val: 0.1014, 0.1014, 0.0952, 0.1016, 0.0997, 0.1025, 0.098, 0.0977, 0.1003, 0.1022
('x_test dtype:', dtype('float32'))
('x_test shape:', (10000, 32, 32, 3))
('y_test dtype:', dtype('float32'))
('y_test shape:', (10000, 10))
relative frequency y_test: 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1

Batchsize: 100
Train-epochs: 50
Threads: 4
Seed: 84561

Epochsizes:
Train: 40000, Val: 10000, Test 10000

### Begin: Table ###
Epoch	WrongTrain	ErrorTrain	LossTrain	WrongVal	ErrorVal	LossVal	WrongTest	ErrorTest	LossTest	Timer
1	15692	0.392300	1.086425	4058	0.405800	1.114080	4018	0.401800	1.116464	54.27
2	12412	0.310300	0.879670	3253	0.325300	0.921533	3257	0.325700	0.916218	106.65
3	10741	0.268525	0.759417	2807	0.280700	0.798466	2900	0.290000	0.816286	159.12
4	9885	0.247125	0.703892	2745	0.274500	0.765863	2749	0.274900	0.785385	211.52
5	8867	0.221675	0.627715	2540	0.254000	0.707862	2494	0.249400	0.715086	263.94
6	7965	0.199125	0.563840	2304	0.230400	0.659825	2355	0.235500	0.680388	316.35
7	7559	0.188975	0.534993	2257	0.225700	0.652823	2303	0.230300	0.668368	368.78
8	6632	0.165800	0.479917	2101	0.210100	0.605425	2166	0.216600	0.621908	421.14
9	5930	0.148250	0.439887	2063	0.206300	0.586676	2095	0.209500	0.601711	473.45
10	5587	0.139675	0.413881	2026	0.202600	0.581536	2077	0.207700	0.599474	525.83
11	5548	0.138700	0.396070	2062	0.206200	0.585536	2068	0.206800	0.604542	578.21
12	4672	0.116800	0.351880	1943	0.194300	0.554419	1962	0.196200	0.567816	630.59
13	4327	0.108175	0.318967	1861	0.186100	0.544132	1930	0.193000	0.561690	682.92
14	3974	0.099350	0.295747	1886	0.188600	0.541287	1898	0.189800	0.554892	735.26
15	3469	0.086725	0.268444	1784	0.178400	0.520605	1833	0.183300	0.535031	787.62
16	3178	0.079450	0.248153	1787	0.178700	0.529396	1848	0.184800	0.540832	840.01
17	2915	0.072875	0.231040	1755	0.175500	0.516122	1799	0.179900	0.530456	892.37
18	2565	0.064125	0.208293	1707	0.170700	0.511919	1771	0.177100	0.525763	944.71
19	2401	0.060025	0.199604	1764	0.176400	0.514276	1815	0.181500	0.524408	997.05
20	2167	0.054175	0.178160	1700	0.170000	0.507470	1717	0.171700	0.516279	1049.43
21	2013	0.050325	0.170889	1643	0.164300	0.511315	1720	0.172000	0.523837	1101.86
22	1786	0.044650	0.159087	1749	0.174900	0.526036	1778	0.177800	0.529842	1154.60
23	1527	0.038175	0.139128	1663	0.166300	0.510374	1723	0.172300	0.514870	1207.01
24	1323	0.033075	0.122030	1674	0.167400	0.505491	1692	0.169200	0.516493	1259.38
25	1435	0.035875	0.126091	1668	0.166800	0.518849	1716	0.171600	0.529124	1311.76
26	1286	0.032150	0.119353	1661	0.166100	0.521899	1788	0.178800	0.545515	1364.09
27	994	0.024850	0.098450	1637	0.163700	0.506177	1705	0.170500	0.517534	1416.50
28	932	0.023300	0.095218	1645	0.164500	0.510868	1674	0.167400	0.521296	1468.91
29	793	0.019825	0.083921	1596	0.159600	0.504422	1667	0.166700	0.512031	1521.25
30	669	0.016725	0.077387	1596	0.159600	0.500881	1690	0.169000	0.521633	1573.65
31	523	0.013075	0.066153	1605	0.160500	0.500273	1682	0.168200	0.517887	1626.02
32	559	0.013975	0.065105	1626	0.162600	0.523567	1674	0.167400	0.533477	1678.37
33	359	0.008975	0.054552	1577	0.157700	0.501616	1646	0.164600	0.514538	1730.75
34	417	0.010425	0.054216	1585	0.158500	0.517698	1651	0.165100	0.537126	1783.13
35	424	0.010600	0.054349	1618	0.161800	0.531301	1728	0.172800	0.550622	1835.65
36	308	0.007700	0.047962	1618	0.161800	0.519811	1652	0.165200	0.535868	1888.21
37	264	0.006600	0.040070	1561	0.156100	0.515424	1636	0.163600	0.530016	1940.63
38	245	0.006125	0.042304	1593	0.159300	0.531759	1689	0.168900	0.549585	1993.09
39	213	0.005325	0.036482	1577	0.157700	0.516532	1622	0.162200	0.530188	2045.57
40	163	0.004075	0.031662	1545	0.154500	0.524218	1635	0.163500	0.534241	2098.02
41	202	0.005050	0.032286	1528	0.152800	0.518286	1600	0.160000	0.536670	2150.49
42	129	0.003225	0.027503	1546	0.154600	0.526361	1637	0.163700	0.544376	2202.83
43	142	0.003550	0.028632	1585	0.158500	0.534046	1641	0.164100	0.549460	2255.18
44	101	0.002525	0.025098	1538	0.153800	0.529962	1630	0.163000	0.557031	2307.54
45	98	0.002450	0.023988	1565	0.156500	0.533281	1682	0.168200	0.558954	2359.97
46	87	0.002175	0.021082	1525	0.152500	0.534023	1640	0.164000	0.556485	2412.34
47	60	0.001500	0.020197	1557	0.155700	0.533303	1640	0.164000	0.558442	2464.71
48	69	0.001725	0.018290	1559	0.155900	0.540389	1647	0.164700	0.560458	2517.07
49	35	0.000875	0.017504	1514	0.151400	0.524081	1618	0.161800	0.552425	2569.40
50	64	0.001600	0.018546	1577	0.157700	0.542700	1644	0.164400	0.557864	2621.77
### End: Table ###
Best-Val: 1514, Epoch: 49
TestAtBestVal: 1618, Epoch: 49
Best-Test: 1600, Epoch: 41

